"","hOMTN_6","hProgFPM_6","Unk_6","hNProg_6","hProgFPL_6","hProgM_6","hProgBP_6","hNbML1_6","hEndo_6","hRgl3_6","hNbM_6","hDA0_6","hMgl_7","hRgl2a_7","Unk_7","hNProg_7","hProgBP_7","hProgM_7","hOMTN_7","hDA0_7","hNbM_7","hProgFPL_7","hEndo_7","hProgFPM_7","hRgl2b_7","hNbML5_7","hRgl3_7","hRN_7","hPeric_7","hDA1_7","hRgl1_7","Unk_8","hProgFPM_8","hProgFPL_8","hProgBP_8","hProgM_8","hOMTN_8","hRgl1_8","hNProg_8","hRN_8","hDA1_8","hNbM_8","hDA0_8","hNbML1_8","hNbML5_8","hMgl_8","hRgl2b_8","hGaba_9","hRgl2a_9","Unk_9","hDA2_9","hSert_9","hOMTN_9","hDA0_9","hDA1_9","hMgl_9","hNbGaba_9","hRgl2b_9","hNbM_9","hPeric_9","hRgl3_9","hNProg_9","hProgBP_9","hRgl1_9","hProgM_9","hNbML5_9","hEndo_9","hRN_9","hNbML1_9","hProgFPL_9","hProgFPM_9","hPeric_10","hRgl2a_10","Unk_10","hRgl3_10","hProgM_10","hProgBP_10","hRgl2b_10","hDA2_10","hNProg_10","hDA0_10","hRgl1_10","hEndo_10","hRgl2c_10","hGaba_10","hOPC_10","hMgl_10","hDA1_10","hNbM_10","hNbML5_10","hNbGaba_10","hSert_10","hOMTN_10","hRgl2b_11","hOPC_11","hPeric_11","hRgl2a_11","Unk_11","hRgl2c_11","hNProg_11","hRgl3_11","hEndo_11","hDA0_11","hProgM_11","hRgl1_11","hSert_11","hOMTN_11","hMgl_11","hNbM_11","hDA2_11","hGaba_11","hNbGaba_11","hProgBP_11"
"ADNP",0.384615384615385,0.43859649122807,0.151515151515152,0.444444444444444,0.676470588235294,0.432432432432432,0.369565217391304,0.416666666666667,0,1,0.5,1,0,0.647058823529412,0.0588235294117647,0.333333333333333,0.125,0.25,0.235294117647059,0.333333333333333,0.4,0.6,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0,0.4,0.5,0.296296296296296,0.652173913043478,0.692307692307692,0.53125,0.5,0.551724137931034,0.5,0.302325581395349,0.363636363636364,0.5,0.441860465116279,0,0.566666666666667,0.8,0.5,0,0.521739130434783,0.384615384615385,0.276923076923077,0.416666666666667,0.333333333333333,0.619047619047619,0.466666666666667,0.615384615384615,0.666666666666667,0.375,0.75,0.25,0.666666666666667,0.333333333333333,0.769230769230769,0.555555555555556,0.666666666666667,0.333333333333333,0.379310344827586,0.4,0.666666666666667,0.6,0.5,0,0.347826086956522,0.44,0.351351351351351,0.380952380952381,0.25,0,0.444444444444444,0.285714285714286,0.6,0.375,0.529411764705882,0.375,0.333333333333333,0.1,0.5,0.25,0.333333333333333,0.368421052631579,0.571428571428571,0,0.5,0.428571428571429,0.3125,0.571428571428571,0.352112676056338,0.45,0.282051282051282,0.4,0.333333333333333,0.36,0.372093023255814,0.2,0,0.333333333333333,0.333333333333333,0.166666666666667,0.428571428571429,0.5,0.25,0.666666666666667,0.333333333333333,0.25
"ARID1B",0.576923076923077,0.350877192982456,0.212121212121212,0.259259259259259,0.441176470588235,0.351351351351351,0.434782608695652,0.416666666666667,0.333333333333333,1,0.2,1,0,0.235294117647059,0.117647058823529,0.333333333333333,0.4375,0.5,0.411764705882353,0.166666666666667,0.2,0,0,0,0.166666666666667,0.166666666666667,1,0.444444444444444,0.5,0.2,1,0.259259259259259,0.347826086956522,0.769230769230769,0.25,0.277777777777778,0.448275862068966,0.625,0.209302325581395,0.272727272727273,0.5,0.348837209302326,0,0.5,0.6,0.25,0,0.478260869565217,0.384615384615385,0.4,0.5,0,0.619047619047619,0.4,0.461538461538462,0.333333333333333,0.5625,1,0.5,0.333333333333333,0.333333333333333,0.307692307692308,0.277777777777778,0.666666666666667,0.666666666666667,0.517241379310345,0.4,0.555555555555556,0.8,0.5,0,0.191304347826087,0.32,0.243243243243243,0.238095238095238,0,0.5,0.222222222222222,0.380952380952381,0.4,0.25,0.117647058823529,0.291666666666667,0.166666666666667,0.3,0.125,0,0.277777777777778,0.578947368421053,0.857142857142857,0.333333333333333,0.625,0.571428571428571,0.354166666666667,0.238095238095238,0.267605633802817,0.4625,0.307692307692308,0.2,0.666666666666667,0.32,0.302325581395349,0.2,0,0.111111111111111,0.666666666666667,0,0.428571428571429,0,0.25,0.333333333333333,1,0
"DYRK1A",0.307692307692308,0.280701754385965,0.151515151515152,0.296296296296296,0.5,0.351351351351351,0.304347826086957,0.333333333333333,0.666666666666667,1,0.1,0,0,0.235294117647059,0.176470588235294,0.333333333333333,0.1875,0.75,0.235294117647059,0,0,0.6,0,1,0.333333333333333,0.166666666666667,0,0.111111111111111,0,0.2,0,0.166666666666667,0.434782608695652,0.384615384615385,0.28125,0.5,0.551724137931034,0.375,0.232558139534884,0.272727272727273,0,0.0930232558139535,0,0.233333333333333,0.4,0.5,0,0.239130434782609,0.384615384615385,0.169230769230769,0.5,0.333333333333333,0.238095238095238,0.266666666666667,0.384615384615385,0.333333333333333,0.5,0.75,0.0833333333333333,0.333333333333333,0.666666666666667,0,0.166666666666667,0,0.333333333333333,0.344827586206897,0.2,0.111111111111111,0.3,0,0,0.165217391304348,0.28,0.216216216216216,0.238095238095238,0,0,0.277777777777778,0.285714285714286,0.4,0.125,0.235294117647059,0.333333333333333,0.166666666666667,0.2,0.375,0.25,0.444444444444444,0.210526315789474,0.142857142857143,0.333333333333333,0.125,0.285714285714286,0.0833333333333333,0.142857142857143,0.225352112676056,0.2625,0.128205128205128,0.2,0.666666666666667,0.28,0.255813953488372,0.2,0,0.222222222222222,0,0,0.142857142857143,0.5,0.5,0.666666666666667,0.333333333333333,0
"CHD2",0.576923076923077,0.456140350877193,0.484848484848485,0.518518518518518,0.5,0.540540540540541,0.456521739130435,0.416666666666667,0,1,0.4,1,0,0.647058823529412,0.235294117647059,0.333333333333333,0.375,0.75,0.294117647058824,0.166666666666667,0.4,0.2,0.5,0,0.333333333333333,0,0,0.222222222222222,0.5,0.4,1,0.277777777777778,0.391304347826087,0.615384615384615,0.3125,0.833333333333333,0.655172413793103,0.375,0.348837209302326,0.227272727272727,0.5,0.627906976744186,0,0.466666666666667,0.6,0.5,0,0.5,0.538461538461538,0.4,0.416666666666667,0.666666666666667,0.857142857142857,0.6,0.538461538461538,0.666666666666667,0.5,0.75,0.5,1,0.333333333333333,0.538461538461538,0.444444444444444,1,0.333333333333333,0.517241379310345,0.6,0.444444444444444,0.7,0.5,0,0.582608695652174,0.62,0.594594594594595,0.571428571428571,0.5,0.5,0.666666666666667,0.666666666666667,1,0.4375,0.764705882352941,0.708333333333333,0.833333333333333,0.7,0.375,0.5,0.555555555555556,0.684210526315789,0.571428571428571,0.333333333333333,0.5,0.428571428571429,0.541666666666667,0.285714285714286,0.464788732394366,0.6,0.538461538461538,0.65,0.333333333333333,0.64,0.581395348837209,0.6,1,0.666666666666667,0.666666666666667,0.666666666666667,0.571428571428571,0.5,0.75,1,0.333333333333333,0
"ASH1L",0.615384615384615,0.43859649122807,0.181818181818182,0.37037037037037,0.294117647058824,0.540540540540541,0.478260869565217,0.25,0.333333333333333,1,0.4,0,0,0.235294117647059,0.117647058823529,0.444444444444444,0.25,0.25,0.352941176470588,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.2,1,0.333333333333333,0.347826086956522,0.615384615384615,0.4375,0.611111111111111,0.551724137931034,0.75,0.325581395348837,0.318181818181818,0.5,0.418604651162791,0,0.5,0.6,0.5,0,0.521739130434783,0.461538461538462,0.384615384615385,0.416666666666667,0,0.428571428571429,0.333333333333333,0.538461538461538,0.333333333333333,0.5,0.25,0.416666666666667,0.333333333333333,0.333333333333333,0.461538461538462,0.166666666666667,0.333333333333333,0.333333333333333,0.448275862068966,0.8,0.333333333333333,0.7,0.5,1,0.556521739130435,0.64,0.459459459459459,0.619047619047619,0,0.5,0.666666666666667,0.380952380952381,0.8,0.5,0.529411764705882,0.583333333333333,0.833333333333333,0.7,0.5,0.5,0.611111111111111,0.421052631578947,0.428571428571429,0,0.875,0.571428571428571,0.333333333333333,0.523809523809524,0.450704225352113,0.5125,0.435897435897436,0.55,0,0.52,0.441860465116279,0.6,1,0.777777777777778,0.666666666666667,0.666666666666667,0.428571428571429,0,0.75,1,0.333333333333333,0
"ASXL3",0.230769230769231,0.0526315789473684,0.0303030303030303,0,0.0588235294117647,0.108108108108108,0.108695652173913,0.333333333333333,0,1,0.3,0,0,0.0588235294117647,0.176470588235294,0.111111111111111,0.0625,0.25,0,0.166666666666667,0.2,0,0,0,0,0.166666666666667,0,0.555555555555556,0,0.4,0.5,0.0925925925925926,0.0869565217391304,0.0769230769230769,0.125,0.0555555555555556,0.379310344827586,0.25,0.0465116279069767,0.272727272727273,0,0.255813953488372,0.25,0.3,0.6,0,0,0.326086956521739,0.0769230769230769,0.123076923076923,0.0833333333333333,0.333333333333333,0.380952380952381,0.2,0.538461538461538,0,0.4375,0.25,0.25,0,0,0.0769230769230769,0.111111111111111,0.333333333333333,0.333333333333333,0.172413793103448,0,0.333333333333333,0.5,0,0,0.0608695652173913,0.07,0.121621621621622,0.0952380952380952,0,0.25,0.0555555555555556,0.285714285714286,0.2,0.125,0.0588235294117647,0,0.166666666666667,0.2,0.125,0,0.222222222222222,0.210526315789474,0.142857142857143,0.333333333333333,0.375,0.142857142857143,0.0416666666666667,0.0952380952380952,0.0563380281690141,0.0125,0.153846153846154,0,0,0.04,0,0,0,0.111111111111111,1,0,0,0,0.25,0.666666666666667,0.333333333333333,0.25
"CHD8",0.384615384615385,0.157894736842105,0.151515151515152,0.0740740740740741,0.117647058823529,0.216216216216216,0.326086956521739,0.25,0,0,0.3,0,0,0.352941176470588,0.117647058823529,0.111111111111111,0.1875,0.5,0.117647058823529,0.166666666666667,0.2,0.2,0.5,0,0.666666666666667,0.166666666666667,0,0.222222222222222,0,0.4,0.5,0.0925925925925926,0.173913043478261,0.461538461538462,0.25,0.222222222222222,0.275862068965517,0.375,0.116279069767442,0.272727272727273,1,0.395348837209302,0,0.3,0.4,0.75,0,0.304347826086957,0.307692307692308,0.153846153846154,0.0833333333333333,0.666666666666667,0.428571428571429,0.2,0.538461538461538,0,0.4375,0.25,0.25,0.666666666666667,0.333333333333333,0.230769230769231,0.166666666666667,0.333333333333333,1,0.344827586206897,0.2,0.222222222222222,0.5,0,0,0.28695652173913,0.33,0.175675675675676,0.238095238095238,0,0,0.333333333333333,0.19047619047619,0.4,0.375,0.176470588235294,0.125,0.333333333333333,0.1,0.125,0.25,0.5,0.631578947368421,0.285714285714286,0.333333333333333,0.25,0.285714285714286,0.145833333333333,0.142857142857143,0.225352112676056,0.3625,0.205128205128205,0.15,0.333333333333333,0.4,0.232558139534884,0.2,0,0.222222222222222,0,0,0.285714285714286,0,0.25,0.666666666666667,0,0
"ANK2",0.615384615384615,0.12280701754386,0.121212121212121,0.222222222222222,0.117647058823529,0.162162162162162,0.173913043478261,0.666666666666667,0.333333333333333,1,0.7,1,0,0.294117647058824,0.411764705882353,0.333333333333333,0.375,0.75,0.647058823529412,0.666666666666667,0.6,0.4,0,0,0,0.333333333333333,0,0.333333333333333,0,0.6,0,0.240740740740741,0.304347826086957,0.461538461538462,0.125,0.277777777777778,0.620689655172414,0.25,0.209302325581395,0.818181818181818,1,0.627906976744186,0,0.833333333333333,0.8,0.5,0,0.760869565217391,0.384615384615385,0.461538461538462,0.666666666666667,0.666666666666667,0.80952380952381,0.8,0.846153846153846,0,0.9375,0.25,1,0,0,0.692307692307692,0.277777777777778,0.666666666666667,0.666666666666667,0.620689655172414,0.2,0.888888888888889,0.7,0.5,0,0.217391304347826,0.55,0.554054054054054,0.476190476190476,0.25,0.25,0.777777777777778,0.523809523809524,0.6,0.5625,0.294117647058824,0.333333333333333,0.166666666666667,0.4,0.5,0,0.833333333333333,0.684210526315789,0.571428571428571,0.333333333333333,0.75,0.714285714285714,0.291666666666667,0.285714285714286,0.154929577464789,0.5125,0.358974358974359,0.35,0.333333333333333,0.56,0.116279069767442,0.2,0,0.444444444444444,1,0.833333333333333,0.285714285714286,1,0.5,1,1,0.25
"CUL3",0.461538461538462,0.368421052631579,0.0909090909090909,0.222222222222222,0.5,0.324324324324324,0.304347826086957,0.333333333333333,0,1,0.2,0,0,0.294117647058824,0.117647058823529,0.333333333333333,0.0625,0,0.176470588235294,0.5,0.2,0.2,0.5,0,0.166666666666667,0.333333333333333,0,0.555555555555556,0,0.8,1,0.203703703703704,0.304347826086957,0.307692307692308,0.15625,0.222222222222222,0.172413793103448,0.25,0.186046511627907,0.181818181818182,0.5,0.209302325581395,0.25,0.3,0.4,0.25,0,0.326086956521739,0.153846153846154,0.2,0.333333333333333,0,0.333333333333333,0.133333333333333,0.307692307692308,0,0.25,0.25,0.416666666666667,0,0.666666666666667,0.384615384615385,0.277777777777778,0.666666666666667,0.666666666666667,0.379310344827586,0.4,0.333333333333333,0.5,0.5,0,0.295652173913043,0.33,0.216216216216216,0.238095238095238,0,0,0.222222222222222,0.285714285714286,0.4,0.3125,0.0588235294117647,0.25,0.166666666666667,0.3,0.25,0,0.444444444444444,0.473684210526316,0,0.333333333333333,0.25,0.142857142857143,0.291666666666667,0.285714285714286,0.169014084507042,0.35,0.205128205128205,0.15,0,0.28,0.209302325581395,0,0,0.444444444444444,0,0.333333333333333,0.285714285714286,1,0,0.333333333333333,0.333333333333333,0.25
"DSCAM",0.0384615384615385,0,0,0.037037037037037,0.0294117647058824,0,0.0434782608695652,0.25,0,0,0.1,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.037037037037037,0,0.153846153846154,0.03125,0,0.137931034482759,0.125,0.0697674418604651,0.136363636363636,0,0.0697674418604651,0.25,0.133333333333333,0.2,0,0,0.217391304347826,0,0.0769230769230769,0.166666666666667,0,0.142857142857143,0.2,0.153846153846154,0,0.0625,0,0.0833333333333333,0,0,0,0,0,0,0.206896551724138,0,0,0.2,0,0,0.0608695652173913,0.05,0.175675675675676,0,0,0,0.222222222222222,0.0952380952380952,0,0.1875,0.117647058823529,0,0,0.3,0.125,0,0.388888888888889,0.0526315789473684,0.285714285714286,0.666666666666667,0.25,0,0,0.0952380952380952,0,0.0375,0.0512820512820513,0,0.333333333333333,0.04,0,0.4,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"MYT1L",0.307692307692308,0.0350877192982456,0.0606060606060606,0.037037037037037,0.0294117647058824,0.027027027027027,0.108695652173913,0.416666666666667,0,0,0,1,0,0.0588235294117647,0.294117647058824,0.222222222222222,0.0625,0.25,0.705882352941177,0.333333333333333,0.2,0,0,0,0,0.5,0,0.444444444444444,0,0.4,0,0.0925925925925926,0.0869565217391304,0.230769230769231,0.0625,0.0555555555555556,0.344827586206897,0,0.186046511627907,0.272727272727273,1,0.302325581395349,0.75,0.433333333333333,1,0,0,0.717391304347826,0.307692307692308,0.415384615384615,0.666666666666667,0.666666666666667,0.619047619047619,0.533333333333333,0.692307692307692,0.333333333333333,0.9375,0.25,0.583333333333333,0.333333333333333,0.333333333333333,0.153846153846154,0.111111111111111,0,0.333333333333333,0.689655172413793,0,0.333333333333333,0.7,0,0,0.191304347826087,0.23,0.621621621621622,0.238095238095238,0,0,0.222222222222222,0.714285714285714,0.2,0.625,0.294117647058824,0.125,0,0.5,0.125,0.25,0.777777777777778,0.578947368421053,0.571428571428571,1,0.625,0.857142857142857,0.0625,0.0476190476190476,0.0985915492957746,0.0125,0.230769230769231,0.05,0.333333333333333,0.12,0.0232558139534884,0.6,0,0.111111111111111,0.333333333333333,0.333333333333333,0,1,0.25,1,0.333333333333333,0
"KMT2A",0.653846153846154,0.473684210526316,0.333333333333333,0.444444444444444,0.470588235294118,0.621621621621622,0.5,0.666666666666667,1,1,0.3,1,0,0.588235294117647,0.470588235294118,0.777777777777778,0.375,0.5,0.588235294117647,0.333333333333333,0.6,0.6,0,1,1,0.333333333333333,0,0.666666666666667,0,1,1,0.388888888888889,0.478260869565217,0.692307692307692,0.625,0.611111111111111,0.758620689655172,1,0.325581395348837,0.636363636363636,1,0.465116279069767,0.5,0.7,0.8,0.5,1,0.782608695652174,0.692307692307692,0.569230769230769,0.666666666666667,0.666666666666667,0.761904761904762,0.8,0.923076923076923,0.333333333333333,0.6875,1,0.75,0.333333333333333,1,0.538461538461538,0.555555555555556,1,1,0.655172413793103,0.8,0.555555555555556,0.8,1,1,0.521739130434783,0.71,0.540540540540541,0.523809523809524,0.5,0.5,0.555555555555556,0.666666666666667,0.8,0.625,0.705882352941177,0.583333333333333,0.833333333333333,0.6,0.375,0.25,0.722222222222222,0.736842105263158,0.714285714285714,0.333333333333333,0.75,0.714285714285714,0.625,0.714285714285714,0.436619718309859,0.7375,0.564102564102564,0.65,1,0.76,0.372093023255814,0.6,0,0.444444444444444,1,0.833333333333333,0.428571428571429,0.5,0.75,1,1,0.25
"GRIN2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0217391304347826,0.0769230769230769,0,0.166666666666667,0,0.0952380952380952,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.111111111111111,0,0,0,0.00869565217391304,0,0.0540540540540541,0.0476190476190476,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POGZ",0.653846153846154,0.473684210526316,0.181818181818182,0.333333333333333,0.735294117647059,0.486486486486487,0.41304347826087,0.166666666666667,0,1,0.5,0,0,0.235294117647059,0.117647058823529,0.333333333333333,0.375,0,0.470588235294118,0.166666666666667,0.4,0.4,1,0,0.333333333333333,0.5,1,0.555555555555556,0,0.2,1,0.314814814814815,0.391304347826087,0.692307692307692,0.3125,0.333333333333333,0.413793103448276,0.5,0.418604651162791,0.636363636363636,0,0.372093023255814,0,0.466666666666667,0.2,0.75,1,0.608695652173913,0.384615384615385,0.292307692307692,0.416666666666667,0.333333333333333,0.571428571428571,0.4,0.461538461538462,0,0.4375,0.75,0.5,0,0.333333333333333,0.384615384615385,0.444444444444444,1,1,0.275862068965517,0.8,0.666666666666667,0.5,1,0,0.4,0.48,0.297297297297297,0.476190476190476,0,0.25,0.611111111111111,0.476190476190476,0.8,0.375,0.352941176470588,0.291666666666667,0.5,0.7,0.5,0.25,0.611111111111111,0.421052631578947,0.714285714285714,0.333333333333333,0.875,0.285714285714286,0.479166666666667,0.333333333333333,0.408450704225352,0.45,0.435897435897436,0.45,0.333333333333333,0.52,0.302325581395349,0.6,0,0.333333333333333,0.666666666666667,0.333333333333333,0.428571428571429,1,0.25,0.666666666666667,0.666666666666667,0.25
"KATNAL2",0,0.0175438596491228,0,0,0.0294117647058824,0.027027027027027,0.0217391304347826,0,0,0,0,0,0,0,0,0.111111111111111,0.0625,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0.03125,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0.01,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0.0375,0.0256410256410256,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0
"NAA15",0.5,0.315789473684211,0.121212121212121,0.222222222222222,0.441176470588235,0.324324324324324,0.326086956521739,0.333333333333333,0.333333333333333,1,0.3,0,0,0.352941176470588,0.294117647058824,0.111111111111111,0.4375,0.75,0.411764705882353,0.333333333333333,0.2,0,0.5,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.5,0,0.5,0.277777777777778,0.304347826086957,0.538461538461538,0.3125,0.333333333333333,0.448275862068966,0.5,0.162790697674419,0.136363636363636,0.5,0.27906976744186,0,0.3,0.6,0.75,1,0.41304347826087,0.307692307692308,0.246153846153846,0.0833333333333333,0,0.285714285714286,0.4,0.307692307692308,0,0.1875,0.75,0.25,0,0.666666666666667,0.230769230769231,0.333333333333333,0.666666666666667,0,0.241379310344828,0.4,0.222222222222222,0.2,0.5,0,0.217391304347826,0.38,0.297297297297297,0.333333333333333,0.25,0.25,0.388888888888889,0.285714285714286,0.2,0.25,0.235294117647059,0.125,0.166666666666667,0.6,0.375,0.25,0.222222222222222,0.421052631578947,0.285714285714286,0.333333333333333,0.5,0.571428571428571,0.270833333333333,0.476190476190476,0.253521126760563,0.4125,0.128205128205128,0.45,0.666666666666667,0.32,0.395348837209302,0.2,0,0.444444444444444,0,0.5,0.428571428571429,0,0.25,0.666666666666667,0.666666666666667,0
"PTEN",0.307692307692308,0.087719298245614,0.0909090909090909,0,0.147058823529412,0.162162162162162,0.130434782608696,0.166666666666667,0,1,0.2,0,0,0.0588235294117647,0,0.111111111111111,0.0625,0,0.176470588235294,0,0.2,0,0,0,0.166666666666667,0,0,0.111111111111111,1,0.6,0,0.0740740740740741,0.130434782608696,0.153846153846154,0.28125,0.111111111111111,0.241379310344828,0.125,0.13953488372093,0.181818181818182,0,0.186046511627907,0.25,0.3,0.4,0.75,0,0.391304347826087,0.307692307692308,0.153846153846154,0.0833333333333333,0,0.285714285714286,0.0666666666666667,0.769230769230769,0.666666666666667,0.125,0.25,0.166666666666667,1,0,0.384615384615385,0.222222222222222,0.666666666666667,0,0.137931034482759,0.6,0.222222222222222,0.4,0,0,0.773913043478261,0.26,0.216216216216216,0.238095238095238,0.25,0,0.222222222222222,0.238095238095238,0,0.1875,0.176470588235294,0.416666666666667,0.333333333333333,0.4,0.125,0,0.388888888888889,0.210526315789474,0.142857142857143,0,0.5,0.714285714285714,0.1875,0.19047619047619,0.71830985915493,0.25,0.179487179487179,0.25,0.333333333333333,0.2,0.209302325581395,0.6,0,0.111111111111111,0.333333333333333,0,0.142857142857143,0,0,0.333333333333333,0,0.25
"TRIP12",0.461538461538462,0.263157894736842,0.181818181818182,0.222222222222222,0.323529411764706,0.324324324324324,0.239130434782609,0.416666666666667,0.333333333333333,1,0,1,0,0.176470588235294,0.0588235294117647,0.111111111111111,0.125,0,0.176470588235294,0,0.4,0.4,0.5,0,0.5,0.166666666666667,0,0.222222222222222,0.5,0.2,0.5,0.12962962962963,0.347826086956522,0,0.28125,0.277777777777778,0.275862068965517,0.375,0.116279069767442,0.318181818181818,0.5,0.418604651162791,0,0.233333333333333,0,0.25,0,0.326086956521739,0.230769230769231,0.0923076923076923,0.333333333333333,0.333333333333333,0.476190476190476,0.466666666666667,0.461538461538462,0.333333333333333,0.4375,0.5,0.416666666666667,0.333333333333333,0.333333333333333,0.230769230769231,0.333333333333333,0.666666666666667,0.333333333333333,0.103448275862069,0.4,0.111111111111111,0.3,0.5,0,0.365217391304348,0.32,0.189189189189189,0.19047619047619,0,0.5,0.333333333333333,0.238095238095238,0.2,0.375,0.176470588235294,0.416666666666667,0.166666666666667,0.3,0,0.25,0.277777777777778,0.368421052631579,0,0,0.5,0.285714285714286,0.229166666666667,0.380952380952381,0.408450704225352,0.2625,0.153846153846154,0.4,0,0.32,0.372093023255814,0.2,1,0.222222222222222,0,0.166666666666667,0.428571428571429,0.5,0.5,0.333333333333333,0.333333333333333,0.25
"RELN",0.153846153846154,0.0175438596491228,0.0303030303030303,0,0.0588235294117647,0.027027027027027,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.172413793103448,0,0,0.136363636363636,0.5,0.116279069767442,0,0.0333333333333333,0,0,0,0.108695652173913,0.0769230769230769,0.0615384615384615,0.0833333333333333,0,0.142857142857143,0.2,0.153846153846154,0,0.125,0,0.0833333333333333,0,0,0.0769230769230769,0,0,0,0.0344827586206897,0.2,0.111111111111111,0,0,0,0.0434782608695652,0.04,0.0945945945945946,0,0,0,0.0555555555555556,0.0476190476190476,0.4,0.1875,0,0.0833333333333333,0.333333333333333,0.3,0,0,0.222222222222222,0.210526315789474,0.142857142857143,0,0,0.285714285714286,0.0416666666666667,0,0.028169014084507,0.05,0.0769230769230769,0.1,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0
